query,organization
Sir today have to go Delhi for tomorrow exam but my ticket is waiting plz sir help me out to go there.,RailMinIndia
and detained 12 suspects who are linked to Pakistan-based Jaish-e-Mohammed group.,DelhiPolice
Jaish terror module busted in Delhi 12 detained via Well done.,DelhiPolice
Breaking 3 suspected Jaishe Mohammed terrorists arrested by special cell sent to 10 days police custody.,DelhiPolice
there are many Autos parked randomly on both sides of Malviya Nagar metro station causing traffic chaos. This happens daily!,dtptraffic
my friends DL taken away by cop for crossing yellow signal stating as its new law by Supreme Court to take away the DL for 3mths.,dtptraffic
Four trains diverted due to traffic block.,RailMinIndia
massive jam at defence colony flyover with no cop in sight to ease the traffic flow.,dtptraffic
Train No 12524 delayed by 20 hours still getting calls for Feedback on AC and Bed Roll status. What is this Sir ?,RailMinIndia
respectedauthortitiesIlost mymobileInGKPstationtodaywhiletravellingtoDelhifrom RXLIamstudent tkt no. -225277 trn15273. plss help.,RailMinIndia
Qnet Scam Indians visiting VCon Malaysia.,DelhiPolice
12 JeM terrorists detained as Delhi Police foils major terror plot seizes explosives. KUDOS.,DelhiPolice
Why Nehru Place/DefCol/ BRT/Ashram all need to go under repairs same time. Just restrict alternate routes.,dtptraffic
A job well done !,DelhiPolice
Honestly speaking I am happy with the speed of our Rajdhani and Shatabdi trains. Just run on schedule and eliminate the float.,RailMinIndia
they are unauthorize vendors waiting for chambal exp at hwh outer.,RailMinIndia
Jam at defence colony due to barricading by . any reasons for barricades?,DelhiPolice
Will be interesting to revisit this story a year from now. Whether this was a hit or a Miss by SPL cell.,DelhiPolice
Window Glasses are very dirty in AC coaches in almost all the trains and attendants refuse to clean 99℅ times.,RailMinIndia
no proper responses given for the complaints regd in Income Tax Sparsh web site can you please take proper action on it ?,IncomeTaxIndia
Sir 4998/97 BTI BSB BTI via. UMB Exp. running weekly since Sep. 15 has got ample public patronage needs to be regular train.,RailMinIndia
Another gang rape: Accused arrested and sent to 14-day custody. gangrape.,DelhiPolice
Drive through Ashram to Noida is a breeze. Is it due to Diesel Taxi ban?,dtptraffic
Continuous assessments/scrutinies/ unjustifiable demands REALLY make u wonder if honesty pays or costs!,IncomeTaxIndia
Finally got possession from mafias in gk after 2yrs of struggle. Thnks to Court Justice orders and efforts.,DelhiPolice
Delhi govt awards certificates to officers from DTC DPCC Envir min DMRC.,dtptraffic
Premium business class train Mumbai Delhi- Two bed coupe with 24 INCH TV. Hot water Shower. RS. 3800 per person.,RailMinIndia
Despite several requests timing of 54553 not changed from5. 00 pm Patiala to6. 15pm departure. disappointing.,RailMinIndia
Nizamuddin to moolchand traffic disturbed. Heavy traffic jam. Avoid this road.,dtptraffic
IRCTC site being a hoax! Not able to book the ticket since afternoon! Same error since afternoon.,RailMinIndia
congrats for your alertness averted aajor terrorist attack.,DelhiPolice
Proud of special cell alert team for saving us from 13 terrorists of Jaish-e-Mohammad. Kudos!,DelhiPolice
I have not received my refund till today. Refund id is 100000100648376. Txn date 30 April 2016.,RailMinIndia
Sir one car which caught fire last week is still lying at near akshardham mandir. Pls evacuate /remove it 4rm there.,dtptraffic
6351205427 13103 C2 73. Can anything be done to stop the hawker menance in AC coaches?,RailMinIndia
Pnr 2217395412Train number:- 12448nzm - bndaMosquito complaint not being solved. Passengers facing lot of difficuilties .,RailMinIndia
Andheri has police deployed at every platform yet many cases reported evryday at Platform No 7 Andheri Mumbai.,RailMinIndia
stop free water bottle in overnight train 35/78 given by staff remaining they sold by them water waste also.,RailMinIndia
When will u take action on metro feeder and gramin sewa at munirka hauz khas and mahipalpur?,dtptraffic
Retweeted Delhi Police  Some people run from problems. Others run to them. We call them.,DelhiPolice
Dear Railway minister and officers PNR is AP new state without capital and revenue pls help before AP dies.,RailMinIndia
. encroachment of road at Laxmi Nagar leads to chaos n JAM everyday. Pls address this issue.,dtptraffic
THANKS FOR INTRODUCING ONLINE RRB RECRUITMENT PROCEDURES AND EXAM . WE LOVE YOU. GREAT JOB.,RailMinIndia
get that pervert arrested.,DelhiPolice
. shouldn't be able to get away with this!,DelhiPolice
Thousands come to criticise none comes to appreciate. Thank You for arresting 13 terrorists n saving us frm a huge attack.,DelhiPolice
Noise pollution is going on near nigam parshad ofc jain park uttam nagar new delhi. More thn 120 decibel noise. Any action?,DelhiPolice
Hello does anyone know at to do when we have the ID proof copy but forgot the original ID proof. The original ticket is there.,RailMinIndia
alto lxi. Silver 2 men hit a bike and sped away at Okhla. I've complained to 100 number. I sincerely hope something is done.,dtptraffic
I wanna thank as they caught 12 terrorists today. You guys are the reason we feel safe here. May god give more power to you ✌?,DelhiPolice
Lost my wallet and ATM card used unsuccessfully at ID S1ANDI69 at 2020h today. Can the indl be traced using CCTV in ATM?,DelhiPolice
more than 1month since last Tweet to toilet 2 @ sgo st. Still locked. Are they 4 gods?,RailMinIndia
. Special Cell arrests at least 9 suspected. terrorist. Jaishe Mohammed. Deoband.,DelhiPolice
May sound cliched but please why not do something about unreserved passengers in day time reserved coaches.,RailMinIndia
dil se salute delhi police. All officers doing nice work.,DelhiPolice
Hello sir this Guy involve in harassment and threatened a women to Rape ?,DelhiPolice
Rape Women Empowerment Threatening a women on Tweeter for Rape.,DelhiPolice
1st Degree Fake 2nd Degree Missing So should give him a 3rd Degree . . . treatment ? Fake Degree Feku Ki.,DelhiPolice
Paid 2. 8x surge price in tonight at CP-. Odd Even Dobara. diesel.,dtptraffic
Really upset. Not a single stn master number working. Lot of nums out of service. No info on site. Fed up.,RailMinIndia
My story for on how Jaish-e-Mohammed JeM terror suspects were nabbed by Special Cell of.,DelhiPolice
AN OPEN LETTER TO HON'BLE by.,RailMinIndia
Even doing good.,dtptraffic
feeling totally helpless that how can i manage ticket and carry luggage to board train as my mother is also very week lady.,RailMinIndia
My wallet lostandATM unsuccessfully used at BPCL Shahdra HDFC ATM ID S1ANDI69. Can u help in tracing culprit via CCTV at ATM?,DelhiPolice
south delhi people face traffic jam daily bcz of unauthorised three wheeler Kindly do something.,dtptraffic
Have seen officers doing great effort in such emergency situations worth seeing.,DelhiPolice
autos blocking 20-30 foot road opp. Sangam vihar on MB road. autos not in pic.  parked at bus stop.,dtptraffic
If proper vigil was on number plates by faulty fancy small number plates tinted glass cars shud b zero by now.,dtptraffic
Hi Am stuck in heavy traffic at Ashram flyover onwards South. Ex.,dtptraffic
Thanks More importantly he could have been a great dancer side news. But.,DelhiPolice
Booking ret room only after confirm ticket is OK. Why Confirm ticket reqd To Know the Availblty of RR? Pl look into problem.,RailMinIndia
Prabhu Sir pls look at this situation.,RailMinIndia
so when is going to be picked up by for her forged degree?,DelhiPolice
is this true? IRCT Cdatastolen.,RailMinIndia
Dear please confirm whether this message is circulated by.,DelhiPolice
Well done for arresting JeM militants Delhi sleeps peacefully as u Guard them. Kudos.,DelhiPolice
Sir FIR No. 013050 lodged in Vasant kunj north when i check online status no record exist. Please help me out.,DelhiPolice
Coming from East Vinod Nagar towards Kale Khan there is huge traffic at Akshardham and Nizamuddin Bridge. Please help.,dtptraffic
whats d use when none of dem is working on any lucknow NR PLATFORMS.,RailMinIndia
Ultra-rich to declare cost of expensive assets too via.,IncomeTaxIndia
A genuine shoutout to for nabbing JEM 'Sympathisers' It's not that easy as it sounds. Real hardwork n research goes behind this.,DelhiPolice
Current condition of Pratapgarh Junction UP Garbage everywhere Kindly take action.,RailMinIndia
Train no. 12868 PNR No. 4219506515 Coach S6 Seat No. 25 fan not working very hot travelling with patient.,RailMinIndia
why no signboards or men placed near moolchand when DTP knows that flyover at defence colony under repair leading to huge jams.,dtptraffic
dis abuser shud b arrested.,DelhiPolice
all pvt ticket vendrs givn frenchise by indian railway r chargng unfair Commissn i. e5rs instead of 1. Ex- near nizamudin statn.,RailMinIndia
Worst Experience on TTKL booking plz see below to understand probs of psx.,RailMinIndia
this car daily parked in bus lane at moti ngr bus stand. Who is allowing its owner?,dtptraffic
Please check the tweet he is openly abusing a woman. If you can take the action we will be obliged.,DelhiPolice
Sir 1 more follow-up on same issue local trns 4m shahad runnin l8 by 10-15 mins. Care 4 Locals.,RailMinIndia
There are so many more instanes of success than failure of intelligence and police which dont get media attention. Je M Arrests.,DelhiPolice
Wt if daughter was wt driver w/o license/PSVB illegal fled ?,dtptraffic
Violation of permit overcharging Driver w/o licence/PSVB. Fled from police 1845 hrs 4. 5. 2016.,dtptraffic
After water IR will transport fodder now to save livestock. Indian Rail Media.,RailMinIndia
How we can book tickets in today 12046 train have enough seats 9968799889 Plz reply hurry.,RailMinIndia
Class IV employees will be new saviors for Indian Railways. Indian Rail Media.,RailMinIndia
Fled illegal swapped driver w/o license/PSVB. Violation of permit overcharging.,dtptraffic
Dear Sir When Nelamangala to Hasana new rly line will be operational?,RailMinIndia
vehicles parked illegally on main road and surroundings Kkd courts and Hedgevar Hospital.,dtptraffic
Major terror attack averted in Delhi thanks to IB . and other unsung heroes . Report >>.,DelhiPolice
Wt if daughter was wt driver w/o license/PSV badge illegal ?,dtptraffic
applied for pan on 20 feb 2016 still not issued complain no 6280919 ack no 051749700640923.,IncomeTaxIndia
IRCTC Website Gets Hacked and More Than 1 Crore User Records Stolen.,RailMinIndia
rescheduled to 6 PM. We have to go to Madhupur but since the time has changed to 6 PM hence it not feasible.,RailMinIndia
: Danish Woman Testimony Nails Accused In.,DelhiPolice
Wt if daughter was wt driver w/o license/PSV badge illegal fled ?,dtptraffic
i am travlling in below mentioned train. Where ac is not workPNR-4839386322 Trn:15227 Cls:3A P1-B1 13.,RailMinIndia
Taxing troubles? 'e-nivaran' to ease pain via.,IncomeTaxIndia
some unknown persons loaded this tank filled with some petroleum products probably Mobil in s1 13106.,RailMinIndia
over charging on water bottle they charged ₹125 for a ₹35 bottle. CC.,IncomeTaxIndia
Heavy traffic from vikaspuri towards keshopur.,dtptraffic
Plight of Passenger's Serious Complnt not attended by Railway MinistryandMinister.,RailMinIndia
Doing great job always. Delhi is only place where no organized crime at all. We proud of you.,DelhiPolice
Wt if 's daughter was wt driver w/o license/PSV badge illegal fled ?,dtptraffic
facing traffic issue daily @ Shemrock Guru Harkrishan Ngr Kindly deploy red light or traffic support.,dtptraffic
if daughter was wt driver w/o license/PSV badge illegal fled ?,dtptraffic
No water and power in train 12720.,RailMinIndia
please provide a token machine for platform tickets in every JN.,RailMinIndia
rcd many SMS based OTP for forgot password option on IRCTC site. Looks like hackers targeting customer accounts.,RailMinIndia
